TIME STAMP:30
SYSTEM TIME: Thu Oct 18 21:27:22 2018
,Iteration Computation Time,1
,Number of vehicles available,1000
,Number of pending requests,98

,Average Computation Time,1
,Maximum Computation Time,1
,Service Rate,0
,Service Rate After Re-Balancing,0
,Average Waiting Time,0
,Average Total Travel Delay,0
,Average In Car Travel Delay,0
,Occupancy (Passengers/Vehicle),0
,Unassigned Requests Found,1
,Unassigned Vehicles Found,927
,ILP Solve Time,0
,Rebalance Time,0

TIME STAMP:100
SYSTEM TIME: Thu Oct 18 21:27:26 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,395

,Average Computation Time,2
,Maximum Computation Time,3
,Service Rate,36.7347
,Service Rate After Re-Balancing,37.7551
,Average Waiting Time,563.333
,Average Total Travel Delay,0
,Average In Car Travel Delay,0
,Occupancy (Passengers/Vehicle),1.05882
,Unassigned Requests Found,16
,Unassigned Vehicles Found,751
,ILP Solve Time,1
,Rebalance Time,1

TIME STAMP:130
SYSTEM TIME: Thu Oct 18 21:27:30 2018
,Iteration Computation Time,3
,Number of vehicles available,1000
,Number of pending requests,407

,Average Computation Time,2.33333
,Maximum Computation Time,3
,Service Rate,34.1067
,Service Rate After Re-Balancing,37.587
,Average Waiting Time,579.408
,Average Total Travel Delay,0
,Average In Car Travel Delay,0
,Occupancy (Passengers/Vehicle),1.11585
,Unassigned Requests Found,25
,Unassigned Vehicles Found,684
,ILP Solve Time,1
,Rebalance Time,1

TIME STAMP:200
SYSTEM TIME: Thu Oct 18 21:27:37 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,622

,Average Computation Time,3.25
,Maximum Computation Time,6
,Service Rate,42.8829
,Service Rate After Re-Balancing,48.6487
,Average Waiting Time,609.966
,Average Total Travel Delay,7
,Average In Car Travel Delay,20
,Occupancy (Passengers/Vehicle),1.17647
,Unassigned Requests Found,122
,Unassigned Vehicles Found,576
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:230
SYSTEM TIME: Thu Oct 18 21:27:45 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,586

,Average Computation Time,3.8
,Maximum Computation Time,6
,Service Rate,40.8827
,Service Rate After Re-Balancing,55.1684
,Average Waiting Time,618.952
,Average Total Travel Delay,-1.5
,Average In Car Travel Delay,-27
,Occupancy (Passengers/Vehicle),1.23794
,Unassigned Requests Found,135
,Unassigned Vehicles Found,543
,ILP Solve Time,0
,Rebalance Time,3

TIME STAMP:300
SYSTEM TIME: Thu Oct 18 21:27:54 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,678

,Average Computation Time,4.33333
,Maximum Computation Time,7
,Service Rate,47.8974
,Service Rate After Re-Balancing,64.2051
,Average Waiting Time,563.069
,Average Total Travel Delay,13.25
,Average In Car Travel Delay,-54.625
,Occupancy (Passengers/Vehicle),1.29368
,Unassigned Requests Found,207
,Unassigned Vehicles Found,484
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:330
SYSTEM TIME: Thu Oct 18 21:28:01 2018
,Iteration Computation Time,6
,Number of vehicles available,1000
,Number of pending requests,619

,Average Computation Time,4.57143
,Maximum Computation Time,7
,Service Rate,43.035
,Service Rate After Re-Balancing,63.2685
,Average Waiting Time,562.506
,Average Total Travel Delay,13.4286
,Average In Car Travel Delay,-67.2857
,Occupancy (Passengers/Vehicle),1.33737
,Unassigned Requests Found,182
,Unassigned Vehicles Found,450
,ILP Solve Time,1
,Rebalance Time,3

TIME STAMP:400
SYSTEM TIME: Thu Oct 18 21:28:11 2018
,Iteration Computation Time,8
,Number of vehicles available,1000
,Number of pending requests,727

,Average Computation Time,5
,Maximum Computation Time,8
,Service Rate,46.4697
,Service Rate After Re-Balancing,67.8674
,Average Waiting Time,521.234
,Average Total Travel Delay,11.85
,Average In Car Travel Delay,-76.3
,Occupancy (Passengers/Vehicle),1.37371
,Unassigned Requests Found,264
,Unassigned Vehicles Found,404
,ILP Solve Time,1
,Rebalance Time,4

TIME STAMP:430
SYSTEM TIME: Thu Oct 18 21:28:20 2018
,Iteration Computation Time,7
,Number of vehicles available,1000
,Number of pending requests,677

,Average Computation Time,5.22222
,Maximum Computation Time,8
,Service Rate,41.5899
,Service Rate After Re-Balancing,67.7995
,Average Waiting Time,522.279
,Average Total Travel Delay,8.68
,Average In Car Travel Delay,-98.28
,Occupancy (Passengers/Vehicle),1.40775
,Unassigned Requests Found,263
,Unassigned Vehicles Found,390
,ILP Solve Time,0
,Rebalance Time,4

TIME STAMP:500
SYSTEM TIME: Thu Oct 18 21:28:29 2018
,Iteration Computation Time,8
,Number of vehicles available,1000
,Number of pending requests,752

,Average Computation Time,5.5
,Maximum Computation Time,8
,Service Rate,45.0766
,Service Rate After Re-Balancing,73.3589
,Average Waiting Time,492.343
,Average Total Travel Delay,13.1515
,Average In Car Travel Delay,-93.0909
,Occupancy (Passengers/Vehicle),1.43687
,Unassigned Requests Found,356
,Unassigned Vehicles Found,359
,ILP Solve Time,1
,Rebalance Time,4

TIME STAMP:530
SYSTEM TIME: Thu Oct 18 21:28:41 2018
,Iteration Computation Time,10
,Number of vehicles available,1000
,Number of pending requests,683

,Average Computation Time,5.90909
,Maximum Computation Time,10
,Service Rate,41.9981
,Service Rate After Re-Balancing,73.6818
,Average Waiting Time,494.751
,Average Total Travel Delay,14.561
,Average In Car Travel Delay,-106.707
,Occupancy (Passengers/Vehicle),1.46634
,Unassigned Requests Found,340
,Unassigned Vehicles Found,346
,ILP Solve Time,4
,Rebalance Time,3

TIME STAMP:600
